,,,,,,,
Material Type,Name,Concentration,Amount,Location,SDS,Notes,Instrument
Biochem,Sephadex,G-50,120 g,Prep Room,1,,
Biochem,Sephadex,G-100,100 g,Prep Room,1,,
Biochem,Sephadex,G-200,50 g,Prep Room,1,,
Biochem,Sephadex,LH-20,80 g,Prep Room,1,,
Biochem,DL Serine,Solid,3 g,Prep Room,1,,
Biochem,Sodium Dodecyl Sulfate,99%,70 g,Prep Room,1,,
Biochem,Sorbic Acid,99%,70 g,Prep Room,1,,
Biochem,Sucralose,Solid,70 g,Prep Room,1,,
Biochem,Sucrose,Solid,2.5 kg,Prep Room,1,,
Biochem,Starch,Solid,2 kg,Prep Room,1,,
Biochem,Sulphoxyethyl Cellulose,Solid,30 g,Prep Room,1,,
Biochem,TAPS,Solid,5 g,Prep Room,1,,
Biochem,DL Threonine,Solid,3 g,Prep Room,1,,
Biochem,L-Tryptophan,98%,25 g,Prep Room,1,,
Biochem,DL Tyrosine,Solid,20 g,Prep Room,1,,
Biochem,DL Valine,Solid,30 g,Prep Room,1,,
Biochem,Vitamin A,Solid,20 g,Prep Room,1,,
Biochem,Vitamin B,Solid,50 g,Prep Room,1,,
Synthetics,Amberlite,,1000 g,,1,,
Synthetics,Boiling Chips,,400 g,,1,,
Synthetics,Dessicant,,300 g,,1,,
Synthetics,Glass Beads,,100 g,,1,,
Synthetics,Molecular Sieves,,2100 g,,1,,
Synthetics,Plaster Paris,,400 g,,1,,
Synthetics,Resin,,2000 g,,1,,
Synthetics,Silica Gel,,2500 g,,1,,
Synthetics,Soda Lime,,400 g,,1,,
Indicators,Aluminon,Solid,15 g,,1,,
Indicators,Aluminon,0.10 M,300 mL,,1,,
Indicators,Aluminon,1%,50 mL,,1,,
Indicators,Amido Black,Solid,6 g,,1,,
Indicators,Ammonia Color Concentrate,Solid,5 g,,0,,
Indicators,Alizarin Red,0.20%,5 mL,,1,,
Indicators,Bromophenol Blue,,400 mL,,1,,
Indicators,Bromocresol Green,0.0000993,300 mL,,1,,
Indicators,Bromocresol Purple,,350 mL,,1,,
Indicators,Eriochrome Black,Solid,100 g,,1,,
Indicators,Magneson,,350 mL,,1,,
Indicators,Methylene Blue,1%,2 L,,1,,
Indicators,Methyl Orange,Solid,400 g,,1,,
Indicators,Methyl Orange,1%,500 mL,,,,
Indicators,Red Cabbage Extract,Solid,5 g,,1,,
Indicators,Methyl Red,Solid,10 g,,1,,
Indicators,Methyl Red,1%,500 mL,,,,
Indicators,Napthol Blue Black,Solid,25 g,,1,,
Indicators,Phenol Red,1%,80 mL,,1,,
Indicators,Starch Indicator,1%,25 mL,,1,,
Indicators,Thymol Blue,0.04%,50 mL,,1,,
Indicators,Universal Indicator,,700 mL,,1,,
Indicators,Phenolphthalein,Solid,800 g,,1,,
Indicators,Phenolphthalein,0.5% in 1:1 EtOH:H2O,500 mL,,1,,
Household Chemicals,Bleach,,800 mL,,,,
Household Chemicals,Clorox,,1/3 of a bottle,,,,
Household Chemicals,Vinegar,,1 L,,,,
Household Chemicals,Woolite,,1 can,,,,
Household Chemicals,WD-40,,1 can,,,,
Household Chemicals,Nail Polish Remover,,1/3 of a bottle,,,,
Household Chemicals,Table Salt,,1000g,,,,
Household Chemicals,Glass and Surface Cleaner,,2 bottle,,,,
Household Chemicals,Comet Cleaner,,1 can,,,,
Household Chemicals,Gain Ultra,,0 bottle,,,,
Household Chemicals,Brewing Tablets,,1/2 bags,,,,
Household Chemicals,Greenworks Cleaner,,1/2 bottle,,,,
Household Chemicals,Durex,,1 gallon,,,,
Household Chemicals,Windex,,1/6 bottle,,,,
Household Chemicals,409 Cleaner,,1 bottle,,,,
Household Chemicals,Fantastik,,1 bottle,,,,
Household Chemicals,Baking Soda,,100 g,,,,
Household Chemicals,SOS Cleaner,,1/8 box,,,,
Household Chemicals,Sta-Flo Starch,,1 bottle,,,,
Household Chemicals,Ibuprofen,,3.5 bottles,,,,
Household Chemicals,Iodine,,1 bottle,,,,
Household Chemicals,Lemon Juice,,0 bottle,,,,
Household Chemicals,Lime Juice,,0 bottle,,,,
Household Chemicals,Sunscreen,,1 bottle,,,,
Household Chemicals,Spray On Sunscreen,,2 bottles,,,,
Household Chemicals,Naproxen,,2 bottles,,,,
Household Chemicals,Analgesic,,5 bottles,,,,
Household Chemicals,Magnesia,,1 bottle,,,,
Household Chemicals,Glycerin,,1 & 1/8 bottle,,,,
Household Chemicals,Mucinex,,0 bottle,,,,
Household Chemicals,Iron Tablet,,3/4 bottle,,,,
Household Chemicals,Antacid,,1/2 & 1/4 of a bottle / 33 tablets,,,,
Household Chemicals,Lactase,,120 tablets,,,,
Household Chemicals,Grecian Formula,,1 bottle,,,,
Household Chemicals,Shortening,,2 containers,,,,
Household Chemicals,Whey Protein,,2 large containers,,,,
Household Chemicals,Detergent,,4 bottles (each has 1/2),,,,
Household Chemicals,Coke,,2 liter,,,,
Household Chemicals,Hydrogen Peroxide,,1.10 bottles,,,,
Household Chemicals,Cotton Balls,,70,,,,
Household Chemicals,Propel,,14 bottles,,,,
Household Chemicals,Shampoo,,1 bottle,,,,
Household Chemicals,Sugar,,3 bags,,,,
Household Chemicals,Nutmeg,,6 shakers,,,,
Household Chemicals,Green Tea,,Half a bag,,,,
Household Chemicals,Molasses,,1 container,,,,
Household Chemicals,Sand,,3/4 of a bottle,,,,
Household Chemicals,Meat Tenderizer,,3/4 shakers,,,,
Household Chemicals,Corn Syrup,,1 bottle,,,,
Household Chemicals,Corn Starch,,3 boxes,,,,
Household Chemicals,Kool-aid,,0 packets,,,,
Household Chemicals,Vegetable Oil,,2 L,,,,
Household Chemicals,Olive Oil,,1/6 bottle,,,,
Household Chemicals,RainX,,4 L,,,,
Household Chemicals,Antifreeze,,1 large bottle,,,,
Household Chemicals,Gallon Freezer Bag,,0 bags,,,,
Household Chemicals,Food Dye,,tons,,,,
Household Chemicals,Misc. Snacks,,8 different things,,,,
Household Chemicals,Misc. Colored Water,,6,,,,
Household Chemicals,Uriscan,,1000 strips,,,,
Household Chemicals,Isopropyl Alcohol,,10 ml,,,,
Household Chemicals,Borax,,1 big box,,,,
Household Chemicals,Rolaids,,68 tablets,,,,
Household Chemicals,Glucose meter test strips,,5 boxes,,,,
Household Chemicals,Multivitamin ,,3 bottles ,,,,
Household Chemicals,Active yeast,,9 packets,,,,
Household Chemicals,Peanut oil,,1/8 of a gallon ,,,,
Household Chemicals,Honey ,,1/4 of a bottle,,,,
Household Chemicals,Popcorn kernels ,,1 bottle,,,,
Household Chemicals,Centrum ,,2 bottle,,,,
Household Chemicals,Dog food,,1/4 of a bottle,,,,
Household Chemicals,Granulated Alum  ,,1/4 bottle,,,,
Household Chemicals,Lutein,,1/2 bottle,,,,
Household Chemicals,Anacin,,1 bottle,,,,
Household Chemicals,Aspirin ,,5 bottles,,,,
Household Chemicals,Vitamin C,,1 bottle,,,,
Household Chemicals,Zinc Lozenges,,1 bottle,,,,
Household Chemicals,Vitamin B-1,,2 bottles,,,,
Household Chemicals,Niacin,,2 bottles,,,,
Household Chemicals,Alka-Seltzer,,22 tablets,,,,
Household Chemicals,Moth ice crystals ,,1 can,,,,
Household Chemicals,The works cleaning bleach,,(6% 2 large container),,,,
Household Chemicals,Deodorant ,,1 stick,,,,
Household Chemicals,Purex,,1 large container ,,,,
Household Chemicals,Mod Podge,,1 container ,,,,
Household Chemicals,Hand sanitizer gel,,1 container,,,,
Household Chemicals,Black tea,,1 box,,,,
Inorganics,Aluminum,Solid,1200 g,,1,,
Inorganics,Aluminum Chloride,Solid,200 g,,1,,
Inorganics,Aluminum Nitrate,Solid,500 g,,1,,
Inorganics,Aluminum Nitrate,0.10 M,800 mL,,1,,
Inorganics,Aluminum Oxide,Solid,350 g,,1,,
Inorganics,Aluminum Sulfate,Solid,600 g,,1,,
Inorganics,Ammonia,2 M,100 mL,,1,,
Inorganics,Ammonium Bromide,Solid,400 g,,1,,
Inorganics,Ammonium Chloride,Solid,300 g,,1,,
Inorganics,Ammonium Dichromate,Solid,400 g,,1,,
Inorganics,Ammonium Hydroxide,2 M,250 mL,,1,,
Inorganics,Ammonium Iron (II) Sulfate,Solid,125 g,,1,,
Inorganics,Ammonium Iodide,Solid,15 g,,1,,
Inorganics,Ammonium Molybdate,Solid,450 g,,1,,
Inorganics,Ammonium Nitrate,Solid,1200 g,,1,,
Inorganics,Ammonium Oxalate,Solid,75 g,,1,,
Inorganics,Ammonium Oxalate,0.10 M,350 mL,,1,,
Inorganics,Ammonium Oxalate,0.25 M,400 mL,,1,,
Inorganics,Ammonium Phosphate,Solid,350 g,,1,,
Inorganics,Ammonium Sulfate,Solid,2750 g,,1,,
Inorganics,Ammonium Thiocyanate,Solid,450 g,,1,,
Inorganics,Arsenic (III) Oxide,Solid,125 g,,1,,
Inorganics,Barium Carbonate,Solid,400 g,,1,,
Inorganics,Barium Chloride,Solid,900 g,,1,,
Inorganics,Barium Chloride,0.10 M,1250 mL,,1,,
Inorganics,Barium Diphenylamine Sulfonate,Solid,75 g,,1,,
Inorganics,Barium Nitrate,Solid,300 g,,1,,
Inorganics,Barium Nitrate,0.10 M,1000 ml,,1,,
Inorganics,Barium Sulfate,Solid,200 g,,1,,
Inorganics,Bismuth Chloride,Solid,10 g,,1,,
Inorganics,Bismuth Chloride,0.10 M,450 mL,,1,,
Inorganics,Bromine,Liquid ,50 mL,,,,
Inorganics,Cadmium Nitrate,Solid,100 g,,1,,
Inorganics,Calcium,Solid,10 g,,1,,
Inorganics,Calcium ,1000ppm,350 ml ,,1,,
Inorganics,Calcium Carbonate,Solid,3500 g,,1,,
Inorganics,Calcium Chloride Anhydrous,Solid,100 g,,1,,
Inorganics,Calcium Chloride Dihydrate,Solid,400 g,,1,,
Inorganics,Calcium Chloride,Solid,1100 g,,1,,
Inorganics,Calcium Chloride,0.10 M,200 mL,,1,,
Inorganics,Calcium Chloride,1.0 M,0,,1,,
Inorganics,Calcium Chloride,10%,200ml ,,1,,
Inorganics,Calcium Hydroxide,Solid,300 g,,1,,
Inorganics,Calcium Hypochlorite,Solid,200 g,,1,,
Inorganics,Calcium Nitrate,Solid,500 g,,1,,
Inorganics,Calcium Nitrate,0.10 M,650 mL,,1,,
Inorganics,Calcium Phosphate,Solid,400 g,,1,,
Inorganics,Calcium Sulfate Anhydrous,Solid,400 g,,1,,
Inorganics,Calcium Hypochlorite,Solid,200g ,,1,,
Inorganics,Carbon (Charcoal),Solid,1000g,,1,,
Inorganics,Carbon (Activated,Solid,800 g,,1,,
Inorganics,Carbon (Dye),Unknown,100 mL,,1,,
Inorganics,Carbon Tetrachloride,99%,500 mL,,1,,
Inorganics,Ceric Hydroxide,Solid,25 g,,1,,
Inorganics,Cerium Oxalate,Solid,100 g,,1,,
Inorganics,Chromium ,Solid,50 g,,1,,
Inorganics,Chromium Acetylacetonate,Solid,20 g,,1,,
Inorganics,Chromium Chloride,Solid,200 g,,1,,
Inorganics,Chromium (III) Nitrate,Solid,300 g,,1,,
Inorganics,Cobalt,50 g,,,,,
Inorganics,Cobalt (II) Chloride,Solid,200 g,,1,,
Inorganics,Cobalt (II) Chloride,1.0 M,3 L,,1,,
Inorganics,Cobalt (II) Nitrate,Solid,75 g,,1,,
Inorganics,Cobalt (II) Nitrate,0.10 M ,4 L,,1,,
Inorganics,Cobalt (II) Nitrate,1.0 M,3 L,,1,,
Inorganics,Copper,Solid,800 g,,1,,
Inorganics,Copper (II) Acetate,Solid,450 g,,1,,
Inorganics,Copper (II) Bromide,Solid,70 g,,1,,
Inorganics,Copper (I) Chloride,Solid,200 g,,1,,
Inorganics,Copper (II) Chloride,Solid,400 g,,1,,
Inorganics,Copper (II) Nitrate,Solid,300 g,,1,,
Inorganics,Copper (II) Nitrate,0.10 M,,,1,,
Inorganics,Copper (II) Sulfate,Solid,1400 g,,1,,
Inorganics,Copper (II) Sulfate,0.0625 mL,,,1,,
Inorganics,Copper (II) Sulfate,0.08 M,150 mL,,1,,
Inorganics,Copper (II) Sulfate,0.10 M,450 mL,,1,,
Inorganics,Copper (II) Sulfate,0.25 M,3800 mL,,1,,
Inorganics,Copper (II) Sulfate,0.50 M,400 mL,,1,,
Inorganics,Copper (II) Sulfate,0.80 M,600 ml,,1,,
Inorganics,Copper (II) Sulfate,1.0 M,1500 ml ,,1,,
Inorganics,Iodine,Solid,200 g,,1,,
Inorganics,Iodine,1/10 Normal,900 ml,,1,,
Inorganics,Iron,Solid,300 g,,1,,
Inorganics,Iron (fillings),Solid,2000 g,,1,,
Inorganics,Iron (Wire),Solid,500 g,,1,,
Inorganics,Iron (II) Chloride,Solid,100 g,,1,,
Inorganics,Iron (III) Chloride,Solid,300 g,,1,,
Inorganics,Iron (III) Chloride,5%,1700 mL,,1,,
Inorganics,Iron (III) Nitrate,Solid,1300 g,,1,,
Inorganics,Iron (III) Nitrate,0.002 M,250 mL,,1,,
Inorganics,Iron (III) Nitrate,0.10 M ,200 mL,,1,,
Inorganics,Iron (III) Nitrate,0.20 M,200 mL,,1,,
Inorganics,Iron (III) Oxide,Solid,300 g,,1,,
Inorganics,Iron (II) Sulfate,Solid,1600 g,,1,,
Inorganics,Iron (II) Sulfate,0.10 M,600 mL,,,,
Inorganics,Lead,Solid,150 g,,1,,
Inorganics,Lead (II) Chloride,Solid,200 g,,1,,
Inorganics,Lead (II) Iodide,Solid,40 g,,1,,
Inorganics,Lead (II) Nitrate,Solid,750 g,,1,,
Inorganics,Lead (II) Nitrate,0.05 M,2200 mL,,1,,
Inorganics,Lead (II) Nitrate,0.10 M,600 mL,,1,,
Inorganics,Lithium,Solid,100 g,,1,,
Inorganics,Lithium Chloride,Solid,2 kg,,1,,
Inorganics,Lithium Nitrate,Solid,20 g,,1,,
Inorganics,Lithium Nitrate,0.50 M,250 mL,,1,,
Inorganics,Magnesium (Metal),Solid,200 g,,1,,
Inorganics,Magnesium (Turnings),Solid,2000 g,,1,,
Inorganics,Magnesium (Ribbon),Solid,75 g,,1,,
Inorganics,Magnesium Acetate,Solid,250 g,,1,,
Inorganics,Magesium Bromide,Solid,500 g,,1,,
Inorganics,Magnesium Chloride Hexahydrate,Solid,400 g,,1,,
Inorganics,Magnesium Hydroxide,Solid,400 g,,1,,
Inorganics,Magnesium Hydroxide,0.10 M,0,,1,,
Inorganics,Magnesium Nitrate,Solid,2.5 kg,,1,,
Inorganics,Magnesium Nitrate,0.10 M,50 ml,,1,,
Inorganics,Magnesium Oxide,Solid,0 g,,1,,
Inorganics,Magnesium Sulfate,Solid,5000 g,,1,could not find this on the self with the Mg label,
Inorganics,Magnesium Sulfate (Old),Solid,2500 g,,1,,
Inorganics,Magnesium Sulfate,1.0 M,1.1 L,,1,,
Inorganics,Manganese,Solid,10 g,,1,,
Inorganics,Manganese (II) Chloride,Solid,30 g,,1,,
Inorganics,Manganese (IV) Dioxide,Solid,10 g,,1,,
Inorganics,Manganese (II) Sulfate,Solid,400 g,,1,,
Inorganics,Nickel,Solid,50 g,,1,,
Inorganics,Nickel (II) Chloride,Solid,800 g,,1,,
Inorganics,Nickel (II) Nitrate,Solid,1100 g,,1,,
Inorganics,Nickel (II) Nitrate,1.0 M,4.5 L,,1,,
Inorganics,Nickel (II) Nitrate,0.1 M,500 mL,,,,
Inorganics,Nickel (II) Sulfate,Solid,100 g,,1,,
Inorganics,Nickel (II) Sulfate,0.10 M,50 mL,,1,,
Inorganics,Palladium,Solid,20 g,,1,,
Inorganics,Platinum Oxide,Solid,3 g,,1,,
Inorganics,Hydrogen Hexachloro platinate (IV) hydrate,Solid,1 g,,1,,
Inorganics,Potassium,Solid,5 g,,1,,
Inorganics,Potassium Antimonyl Tartrate,Solid,400 g,,1,,
Inorganics,Potassium Biiodate,Solid,90 g,,1,,
Inorganics,Potassium Bromate,0.010 M,6 L,,1,,
Inorganics,Potassium Bromate,0.23 M,800 mL,,1,,
Inorganics,Potassium Bromide,Solid,400 g,,1,,
Inorganics,Potassium Bromide,0.10 M,4000 mL,,1,,
Inorganics,Potassium Bromide,1.0 M,2600 mL,,1,,
Inorganics,Potassium Bicarbonate,Solid,150 g,,1,,
Inorganics,Potassium Carbonate,Solid,300 g,,1,,
Inorganics,Potassium Carbonate,5%,400 mL,,1,,
Inorganics,Potassium Chlorate,Solid,200 g,,1,,
Inorganics,Potassium Chromate,0.10 M,400 mL,,1,,
Inorganics,Potassium Chromate,Solid,300 g,,1,,
Inorganics,Potassium Chloride,Solid,400 g,,1,,
Inorganics,Potassium Chloride,0.10 M,1200 mL,,1,,
Inorganics,Potassium Chloride,1.0 M,1 L,,1,,
Inorganics,Potassium Chloride,4 M,200 mL,,1,,
Inorganics,Potassium Chloride,Saturated,200 mL,,1,,
Inorganics,Potassium Citrate Monobasic,Solid,600 g,,1,,
Inorganics,Potassium Cyanide,Solid,5 g,,1,,
Inorganics,Potassium Dichromate,Solid,2.5 kg,,1,,
Inorganics,Potassium Ferrocyanide,Solid,70 g,,1,,
Inorganics,Potassium Hexacyano-ferrate (II) ,Solid,300 g,,,,
Inorganics,Potassium Hydrogen Phthalate,Solid,50 g,,1,,
Inorganics,Potassium Hydroxide,Solid,200 g,,1,,
Inorganics,Potassium Hydroxide ,1 M,100 mL,,1,,
Inorganics,Potassium Iodate,Solid,300 g,,1,,
Inorganics,Potassium Iodate,0.10 M,1350 mL,,1,,
Inorganics,Potassium Iodide,Solid,2500 g,,1,,
Inorganics,Potassium Iodide,0.10 M,2500 mL,,1,,
Inorganics,Potassium Iodide,1.0 M,2500 mL,,1,,
Inorganics,Potassium Iodide,Concentrated,200 mL,,1,,
Inorganics,Potassium Nitrate,Solid,400 g,,1,,
Inorganics,Potassium Nitrate,0.10 M,250 mL,,1,,
Inorganics,Potassium Oxalate,Solid,400 g,,1,,
Inorganics,Potassium Perchlorate,Solid,350 g,,1,,
Inorganics,Potassium Periodate,Solid,75 g,,1,,
Inorganics,Potassium Permanganate,Solid,200 g,,1,,
Inorganics,Potassium Permanganate,1.00 M,3.5 L,,1,,
Inorganics,Potassium Permanganate,Bulk Solid,2000 g,,1,,
Inorganics,Potassium Persulfate,Solid,300 g,,1,,
Inorganics,Potassium Phosphate,Solid,500 g,,1,,
Inorganics,Potassium Phosphate Monobasic,Solid,1750 g,,1,,
Inorganics,Potassium Sodium Tartrate,Solid,1200 g,,1,,
Inorganics,Potassium Sulfate,Solid,500 g,,1,,
Inorganics,Potassium Sulfate,0.10 M,1000 mL,,1,,
Inorganics,Potassium Thiocyanate,Solid,4000 g,,1,,
Inorganics,Potassium Thiocyanate,0.002 M,200 mL,,1,,
Inorganics,Potassium Thiocyanate,0.10 M,4000 mL,,1,,
Inorganics,Silica Acid,Solid,1500 g,,1,,
Inorganics,Silver (Powder),Solid,3 g,,1,,
Inorganics,Silver (Wire),Solid,15 g,,1,,
Inorganics,Silver Acetate,Solid,100 g,,1,,
Inorganics,Silver (I) Chloride,Solid,5 g,,1,,
Inorganics,Silver Nitrate,Solid,50 g,,1,,
Inorganics,Silver Nitrate,0.05 M,1.5 L,,1,,
Inorganics,Silver Nitrate,0.10 M,1200 mL,,1,,
Inorganics,Silver Nitrate,0.30 M,100 mL,,1,,
Inorganics,Silver Oxide,Solid,25 g,,1,,
Inorganics,Sodium,Solid,50 g,,1,,
Inorganics,Sodium Acetate,Solid,800 g,,1,,
Inorganics,Sodium Acetate,4.0 M,100 mL,,1,,
Inorganics,Sodium Benzoate,Solid,200 g,,1,,
Inorganics,Sodium Bicarbonate,Solid,4.5 kg,,1,,
Inorganics,Sodium Bicarbonate,10%,1 L,,1,,
Inorganics,Sodium Bicarbonate,Saturated,500 mL,,1,,
Inorganics,Sodium Bicarbonate,1.0 M,600 mL,,1,,
Inorganics,Sodium Bisulfite,Solid,600 g,,1,,
Inorganics,Sodium Bisulfite,Saturated,1 L,,1,,
Inorganics,Sodium Bromide,Solid,1000 g,,1,,
Inorganics,Sodium Bromide,0.1 M,10 mL,,1,,
Inorganics,Sodium Bismuthate,Solid,150 g,,1,,
Inorganics,Sodium Butyrate,Solid,3 g,,1,,
Inorganics,Sodium Carbonate,Solid,450 g,,1,,
Inorganics,Sodium Carbonate,0.10 M,700 mL,,1,,
Inorganics,Sodium Carbonate,0.125 M,10 mL,,1,,
Inorganics,Sodium Carbonate,1.0 M,500 mL,,1,,
Inorganics,Sodium Carbonate,5%,350 mL,,1,,
Inorganics,Sodium Carbonate,10%,400 mL,,1,,
Inorganics,Sodium Chloride,Solid,3.5 kg,,1,,
Inorganics,Sodium Chloride,0.10%,900 mL,,1,,
Inorganics,Sodium Chloride,0.10 M,1 L,,1,,
Inorganics,Sodium Chloride,Saturated,2800 mL,,1,,
Inorganics,Sodium Hydroxide,Solid,750 g,,1,,
Inorganics,Sodium Hydroxide,0.1 M,7 L,,1,,
Inorganics,Sodium Hydroxide,0.4 M,3 L,,1,,
Inorganics,Sodium Hydroxide,0.5 M,1 L,,1,,
Inorganics,Sodium Hydroxide,1.0 M,8 L,,1,,
Inorganics,Sodium Hydroxide,6 M,3 L,,1,,
Inorganics,Sodium Hydroxide,10%,500 mL,,1,,
Inorganics,Sodium Hydroxide,50%,100 mL,,1,,
Inorganics,Sodium Hydroxide,Lab Solutions,16 L,,1,,
Inorganics,Sodium Hydrogen Sulfite,Solid,50 g,,1,,
Inorganics,Sodium Iodate,Solid,450 g,,1,,
Inorganics,Sodium Iodide,Solid,450 g,,1,,
Inorganics,Sodium Iodide,12.50%,50 mL,,1,,
Inorganics,Sodium Nitrate,Solid,2100 g,,1,,
Inorganics,Sodium Nitrate,0.10 M,500 mL,,1,,
Inorganics,Sodium Nitrite,Solid,200 g,,1,,
Inorganics,Sodium Oxalate,Solid,400 g,,1,,
Inorganics,Sodium Oxalate,0.10 M,500 mL,,1,,
Inorganics,Sodium Pentacyanonitrosylferrate(III) Dihydrate,98%,20 g,,1,,
Inorganics,Sodium Perchlorate,Solid,10 g,,1,,
Inorganics,Sodium Polyphosphate,Solid,10 g,,1,,
Inorganics,Sodium Phosphate,Solid,400 g,,1,,
Inorganics,Sodium Phosphate Dibasic Dihydrate,Solid,350 g,,1,,
Inorganics,Sodium Phosphate,0.10 M,1.5 L,,1,,
Inorganics,Sodium Phosphate,0.30 M,750 mL,,1,,
Inorganics,Sodium Polyacrylate,Solid,10 g,,1,,
Inorganics,Sodium Pyrophosphate,Solid,450 g,,1,,
Inorganics,Sodium Salicylate,Solid,70 g,,1,,
Inorganics,Sodium Silicate,Solution,400 mL,,1,,
Inorganics,Sodium Sulfate,Solid,550 g,,1,,
Inorganics,Sodium Sulfate,0.10 M,1250 mL,,1,,
Inorganics,Sodium Sulfate,1.0 M,2200 mL,,1,,
Inorganics,Sodium Sulfide,0.10 M,500 mL,,1,,
Inorganics,Sodium Sulfite,Solid,400 g,,1,,
Inorganics,Sodium Tetraborate,Solid,900 g,,1,,
Inorganics,Sodium Tetraborate,Solution,700 mL,,1,,
Inorganics,Sodlium Thiosulfate,Solid,350 g,,1,,
Inorganics,Sodium Thiosulfate,Solution,900 mL,,1,,
Inorganics,Strontium Chloride,Solid,20 g,,1,,
Inorganics,Strontium Nitrate,Solid,5 g,,1,,
Inorganics,Strontium Nitrate,0.10 M,1 L,,1,,
Inorganics,Sulfur,Solid,1300 g,,1,,
Inorganics,Tin ,Solid,50 g,,1,,
Inorganics,Tin (II) Chloride,Solid,5 g,,1,,
Inorganics,Titanium,Solid,2 g,,1,,
Inorganics,Titanium (IV) Dioxide,Solid,300 g,,1,,
Inorganics,Rhodium,Solid,5 g,,1,,
Inorganics,Ruthenium,Solid,5 g,,1,,
Inorganics,Vanadium (V) Oxide,Solid,100 g,,1,,
Inorganics,Zinc,Metal,2500 g,,1,,
Inorganics,Zinc Strips,Solid,15 g,,1,,
Inorganics,Zinc Acetate,Solid,2 kg,,1,,
Inorganics,Zinc Chloride,Solid,350 g,,1,,
Inorganics,Zinc Chloride,0.10 M,200 mL,,1,,
Inorganics,Zinc Nitrate,Solid,350 g,,1,,
Inorganics,Zinc Nitrate,0.10 M,1 L,,1,,
Inorganics,Zinc Sulfate,Solid,150 g,,1,,
Inorganics,Zinc Sulfate,0.10 M,150 mL,,1,,
Inorganics,Zinc Sulfate,1.0 M,850 mL,,1,,
Inorganics,Zinc Sulfide,Solid,15 g,,1,,
